id,codigo_ibge,nome,uf
450,2904753,Buritirama,BA
451,2904803,Caatiba,BA
452,2904852,Cabaceiras do Paraguaçu,BA
455,2904902,Cachoeira,BA
457,2905008,Caculé,BA
458,2905107,Caém,BA
459,2905156,Caetanos,BA
461,2905206,Caetité,BA
462,2905305,Cafarnaum,BA
465,2905404,Cairu,BA
470,2905503,Caldeirão Grande,BA
472,2905602,Camacan,BA
474,2905800,Camamu,BA
473,2905701,Camaçari,BA
478,2905909,Campo Alegre de Lourdes,BA
479,2906006,Campo Formoso,BA
484,2906204,Canarana,BA
486,2906303,Canavieiras,BA
488,2906402,Candeal,BA
489,2906501,Candeias,BA
490,2906600,Candiba,BA
493,2906808,Cansanção,BA
495,2906824,Canudos,BA
483,2906105,Canápolis,BA
498,2906857,Capela do Alto Alegre,BA
499,2906873,Capim Grosso,BA
505,2906907,Caravelas,BA
501,2906899,Caraíbas,BA
506,2907004,Cardeal da Silva,BA
507,2907103,Carinhanha,BA
511,2907202,Casa Nova,BA
513,2907301,Castro Alves,BA
516,2907400,Catolândia,BA
519,2907509,Catu,BA
521,2907558,Caturama,BA
523,2907608,Central,BA
525,2907707,Chorrochó,BA
528,2907905,Cipó,BA
529,2908002,Coaraci,BA
530,2908101,Cocos,BA
533,2908200,Conceição da Feira,BA
534,2908309,Conceição do Almeida,BA
535,2908408,Conceição do Coité,BA
536,2908507,Conceição do Jacuípe,BA
537,2908606,Conde,BA
538,2908705,Condeúba,BA
539,2908804,Contendas do Sincorá,BA
543,2908903,Coração de Maria,BA
544,2909000,Cordeiros,BA
545,2909109,Coribe,BA
546,2909208,Coronel João Sá,BA
547,2909307,Correntina,BA
549,2909406,Cotegipe,BA
551,2909505,Cravolândia,BA
554,2909703,Cristópolis,BA
552,2909604,Crisópolis,BA
556,2909802,Cruz das Almas,BA
559,2909901,Curaçá,BA
491,2906709,Cândido Sales,BA
526,2907806,Cícero Dantas,BA
565,2910057,Dias d'Ávila,BA
567,2910107,Dom Basílio,BA
568,2910206,Dom Macedo Costa,BA
572,2910404,Encruzilhada,BA
575,2910503,Entre Rios,BA
577,2910602,Esplanada,BA
578,2910701,Euclides da Cunha,BA
579,2910727,Eunápolis,BA
581,2910776,Feira da Mata,BA
582,2910800,Feira de Santana,BA
584,2910859,Filadélfia,BA
586,2910909,Firmino Alves,BA
587,2911006,Floresta Azul,BA
588,2911105,Formosa do Rio Preto,BA
580,2910750,Fátima,BA
595,2911204,Gandu,BA
596,2911253,Gavião,BA
597,2911303,Gentio do Ouro,BA
599,2911402,Glória,BA
600,2911501,Gongogi,BA
9005,3508504,Caçapava,SP
602,2911600,Governador Mangabeira,BA
605,2911659,Guajeru,BA
606,2911709,Guanambi,BA
609,2911808,Guaratinga,BA
614,2911857,Heliópolis,BA
618,2911907,Iaçu,BA
623,2912004,Ibiassucê,BA
624,2912103,Ibicaraí,BA
625,2912202,Ibicoara,BA
626,2912301,Ibicuí,BA
627,2912400,Ibipeba,BA
629,2912509,Ibipitanga,BA
630,2912608,Ibiquera,BA
634,2912707,Ibirapitanga,BA
635,2912806,Ibirapuã,BA
636,2912905,Ibirataia,BA
637,2913002,Ibitiara,BA
640,2913101,Ibititá,BA
644,2913200,Ibotirama,BA
645,2913309,Ichu,BA
647,2913408,Igaporã,BA
651,2913457,Igrapiúna,BA
653,2913507,Iguaí,BA
659,2913606,Ilhéus,BA
662,2913705,Inhambupe,BA
667,2913804,Ipecaetá,BA
668,2913903,Ipiaú,BA
672,2914109,Ipupiara,BA
673,2914208,Irajuba,BA
674,2914307,Iramaia,BA
676,2914406,Iraquara,BA
677,2914505,Irará,BA
678,2914604,Irecê,BA
681,2914653,Itabela,BA
682,2914703,Itaberaba,BA
683,2914802,Itabuna,BA
684,2914901,Itacaré,BA
688,2915007,Itaeté,BA
689,2915106,Itagi,BA
690,2915205,Itagibá,BA
691,2915304,Itagimirim,BA
692,2915353,Itaguaçu da Bahia,BA
698,2915403,Itaju do Colônia,BA
700,2915502,Itajuípe,BA
702,2915601,Itamaraju,BA
703,2915700,Itamari,BA
704,2915809,Itambé,BA
708,2915908,Itanagra,BA
709,2916005,Itanhém,BA
711,2916104,Itaparica,BA
713,2916302,Itapebi,BA
715,2916401,Itapetinga,BA
9371,3530805,Moji Mirim,SP
716,2916500,Itapicuru,BA
718,2916609,Itapitanga,BA
712,2916203,Itapé,BA
721,2916708,Itaquara,BA
723,2916807,Itarantim,BA
725,2916856,Itatim,BA
727,2916906,Itiruçu,BA
728,2917003,Itiúba,BA
729,2917102,Itororó,BA
730,2917201,Ituaçu,BA
731,2917300,Ituberá,BA
